game_id,igdb_id,vgi_id,name,released,steam_id,slug,price,units_sold_vgi,reviews,followers,rating,genres,developers,publishers,publishers_type,revenue_vgi,tags
1914117,268842.0,662667,Horizon Forbidden West™ Complete Edition,2024-03-21,2420110,horizon-forbidden-west-complete-edition,59.99,652000,21738,111000,89.516,"Action, RPG","Guerrilla, Nixxes software",PlayStation Publishing LLC,AAA,30100000,"['Action', 'Adventure', 'Singleplayer', 'RPG', 'Robots', 'Controller', 'Action-Adventure', 'Action RPG', 'LGBTQ+', 'Third-Person', 'Post-apocalyptic', 'Female Protagonist', 'Stealth', 'Exploration', 'Open World', 'Story Rich', 'Sci-fi', 'Atmospheric', 'Great Soundtrack', 'Nudity']"
323107,213237.0,651218,Alone in the Dark,2024-03-20,1310410,alone-in-the-dark,39.99,99120,3304,31194,79.086,"Action, Adventure",Pieces Interactive,THQ Nordic,AA,3900000,"['Action', 'Adventure', 'Lovecraftian', 'Psychological Horror', 'Mystery', 'Dark', 'Thriller', 'Third-Person', 'Survival Horror', 'Surreal', 'Cinematic', 'Detective', 'Psychological', 'Supernatural', 'Narration', 'Noir', 'Combat', 'Female Protagonist', 'Horror', 'Realistic']"
63460,171215.0,726240,Outcast - A New Beginning,2024-03-15,1013140,outcast-a-new-beginning,39.99,36570,1219,24343,80.23,Action,Appeal Studios,THQ Nordic,AA,1500000,"['Action', 'Singleplayer', 'Aliens', 'Action-Adventure', 'Third-Person Shooter', 'Third-Person', 'Combat', ""1990's"", 'Dynamic Narration', '3D', 'Open World', 'Sci-fi', 'Atmospheric']"
2907908,287851.0,662801,STAR WARS™: Battlefront Classic Collection,2024-03-14,2446550,star-wars-battlefront-classic-collection,35.01,228000,7587,19857,22.631,Action,Aspyr,Aspyr,AA,6400000,"['Action', 'Old School', 'Robots', 'Aliens', 'Driving', 'Split Screen', 'First-Person', 'Third-Person Shooter', 'Artificial Intelligence', 'War', 'Military', 'Third-Person', 'Tactical', 'Futuristic', '3D', 'FPS', 'Shooter', 'Space', 'Sci-fi', 'Retro']"
1812634,266684.0,661690,Contra: Operation Galuga,2024-03-12,2235020,contra-operation-galuga,39.99,20910,697,12244,88.235,Action,WayForward ,KONAMI,AA,586000,"['Action', 'Side Scroller', 'Tutorial', 'Aliens', 'Controller', '1980s', 'Character Customization', 'PvE', '2D Platformer', 'Combat', ""1990's"", '2D', 'Female Protagonist', 'Platformer', 'Arcade', 'Shooter', ""Shoot 'Em Up"", 'Story Rich', 'Sci-fi', 'Retro']"
2881351,283600.0,631939,WWE 2K24,2024-03-08,2315690,wwe-2k24,59.99,222000,7411,13238,74.524,"Simulation, Sports",Visual Concepts,2K,AAA,8600000,"['Simulation', 'Singleplayer', 'Casual', 'Multiplayer', 'Sports', 'Controller', 'Co-op', 'Fighting', 'Online Co-Op', 'Character Customization', 'Local Multiplayer', 'Local Co-Op', '3D Fighter', 'Wrestling', '3D', 'Sandbox', 'PvP', 'Realistic', 'Sexual Content']"
35911,670.0,703649,Command & Conquer™ 4 Tiberian Twilight,2024-03-07,47700,command-conquer-4-tiberian-twilight,0.0,306000,4412,5809,16.999,Strategy,Electronic Arts,Electronic Arts,AAA,2700000,"['Strategy', 'Singleplayer', 'Multiplayer', 'FMV', 'Psychological Horror', 'Co-op', 'RTS', 'Base Building', 'Sci-fi']"
3022124,3171.0,728321,The Saboteur,2024-03-07,24880,the-saboteur,9.99,52650,1814,8187,91.676,"Action, Adventure",Pandemic Studios,Electronic Arts,AAA,291000,"['Action', 'Adventure', 'Singleplayer', 'Classic', 'Third-Person', 'World War II', 'Parkour', 'Noir', 'Stealth', 'Open World', 'Nudity']"
3022131,36.0,693755,Dungeon Keeper™ 2,2024-03-07,2616460,dungeon-keeper-2,4.99,27660,928,2663,95.043,"Action, Strategy",Bullfrog Productions,Electronic Arts,AAA,72779,"['Strategy', 'Action', 'Old School', 'Singleplayer', 'Classic', 'Action RPG', 'Real Time Tactics', 'God Game', 'Villain Protagonist', 'RTS', 'Base Building']"
3022137,28955.0,644656,SimCity™ 3000 Unlimited,2024-03-07,2741560,simcity-3000-unlimited,4.99,15420,523,3070,86.424,"Simulation, Strategy, Casual",Maxis™,Electronic Arts,AAA,40220,"['Strategy', 'Simulation', 'Singleplayer', 'Casual', 'Classic', 'Isometric', 'City Builder', 'Retro']"
