name,platforms,genre,release_date
Battlefield 7,"PC, PlayStation, Xbox",Action,November 2025
Goodnight Universe,PC,Adventure,2025
Mars Horizon 2: The Search for Life,PC,Strategy,2025
Songs of Conquest: Rise Eternal,PC,Strategy,2025
Ballad of Antara,PlayStation,RPG,2025
Persist Online,PC,RPG,2025
Cairn,"PC, PlayStation",Adventure,2025
Possessor(s),"PC, PlayStation",Action,2025
Wuchang: Fallen Feathers,"PC, PlayStation, Xbox",RPG,2025
Star Birds,PC,Simulation,2025
Anno 117: Pax Romana,"PC, PlayStation, Xbox",Strategy,2025
Shovel Knight: Shovel of Hope DX,"PC, Nintendo",Arcade,2025
Dungeons & Kingdoms,PC,RPG,2025
The Eternal Life of Goldman,"PC, PlayStation, Xbox, Nintendo",Action,2025
Glory to the Heroes,PC,Action,2025
Pompeii: The Legacy,PC,Strategy,2025
Among the Wild,PC,Adventure,2025
Astrobotanica,PC,Adventure,2025
Atre: Dominance Wars,PC,Strategy,2025
Cleared Hot,PC,Action,2025
Bylina,"PC, PlayStation, Xbox",RPG,2025
Sunderfolk,"PC, PlayStation, Xbox, Nintendo",RPG,2025
Permafrost,PC,Action,2025
Cronos: The New Dawn,"PC, PlayStation, Xbox",Action,2025
Mistfall Hunter,"PC, Xbox",RPG,2025
World of Warcraft: Mists of Pandaria Classic,PC,RPG,2025
Kingdom Come: Deliverance 2 - Legacy of the Forge,"PC, PlayStation, Xbox",RPG,Q4 2025
Ninja Gaiden 4,"PC, PlayStation, Xbox",Action,Q4 2025
Fellowship,PC,RPG,2025
Edge of Memories,"PC, PlayStation, Xbox",RPG,Q4 2025
Styx: Blades of Greed,"PC, PlayStation, Xbox",Action,Q4 2025
Mewgenics,PC,RPG,2025
Camelot Unchained,PC,RPG,2025
The Stomping Land,PC,Action,2025
The Last Night,"PC, PlayStation, Xbox",Adventure,2025
Freeborn,PC,RPG,2025
Way to the Woods,"PC, Xbox",Adventure,2025
SCUM,PC,Action,2025
Tale of Ronin,"PC, PlayStation, Xbox",RPG,2025
Ashes of Creation,PC,RPG,2025
Metroid Prime 4: Beyond,Nintendo,Action,2025
The Wolf Among Us 2,"PC, PlayStation, Xbox",Adventure,2025
Grand Theft Auto VI,"PlayStation, Xbox",Action,Q4 2025
The Siege and the Sandfox,PC,Arcade,2025
Witchbrook,PC,RPG,2025
skate.,"PC, PlayStation, Xbox",Sports,2025
Earthlock 2,"PC, PlayStation, Xbox",RPG,2025
Tormentum II,PC,Adventure,2025
Hytale,PC,Action,2025
'83,PC,Action,Q4 2025
Paralives,PC,Simulation,2025
Negative Atmosphere,PC,Action,2025
2XKO,"PC, PlayStation, Xbox",Fighting,2025
Crimson Desert,"PC, PlayStation, Xbox",RPG,Q4 2025
Gothic Remake,"PC, PlayStation, Xbox",RPG,2025
Sea Legends,PC,Simulation,2025
Brassheart,PC,Adventure,2025
Fata Deum,PC,Strategy,2025
Forever Ago,PC,Adventure,2025
Project Haven,PC,Strategy,2025
Sonzai,"PC, PlayStation, Xbox, Nintendo",RPG,2025
Brutal Fate,PC,Action,2025
4 Minutes to the Apocalypse,"PC, PlayStation, Xbox",Action,2025
Dissident: Frostland Escape,PC,Simulation,2025
ARK II,"PC, Xbox",Action,2025
HeatWave,"PC, Nintendo",RPG,2025
Falling Frontier,PC,Strategy,2025
The Wayward Realms,PC,RPG,December 2025
Instinction,"PC, PlayStation, Xbox",Action,2025
Militsioner,PC,Adventure,2025
Vokabulantis,PC,Adventure,2025
Arctic Awakening,PC,Adventure,2025
Racing Master,Mobile,Racing,2025
Alliance of the Sacred Suns,PC,Strategy,2025
Nivalis,PC,Simulation,2025
Pioner,PC,Action,2025
The Outer Worlds 2,"PC, PlayStation, Xbox",RPG,2025
Echoes of the End,"PC, PlayStation, Xbox",Action,2025
SacriFire,"PC, PlayStation, Xbox, Nintendo",RPG,2025
Honeycomb: The World Beyond,"PC, PlayStation, Xbox",Simulation,2025
Kajko and Kokosh: For Slices,"PC, PlayStation, Xbox, Mobile",RPG,2025
ExeKiller,PC,Action,2025
Titan Quest 2,"PC, PlayStation, Xbox",RPG,2025
Fragile Existence,PC,Strategy,2025
Bulb Boy: Jar of Despair,PC,Adventure,2025
The Lost Wild,PC,Action,2025
Neo Berlin 2087,"PC, PlayStation, Xbox",RPG,2025
Honor of Kings: World,PC,RPG,2025
The Ranchers,PC,RPG,2025
ARC Raiders,"PC, PlayStation, Xbox",Action,2025
Showa American Story,"PC, PlayStation",RPG,Q4 2025
Songs of Glimmerwick,PC,RPG,2025
Mina the Hollower,"PC, PlayStation, Xbox",Action,2025
Lost Twins 2,"PC, Mobile",Adventure,2025
ILL,PC,Action,2025
Complex Sky,PC,Strategy,2025
SOPA: Tale of the Stolen Potato,"PC, Xbox",Adventure,2025
The Way of Wrath,PC,RPG,2025
Road to Vostok,PC,Action,2025
Tom Clancy's Rainbow Six Mobile,Mobile,Action,2025
Nazralath: The Fallen World,PC,RPG,2025
Farathan,PC,RPG,2025
Vampire: The Masquerade - Heartless Symphony,PC,RPG,2025
Phonopolis,PC,Adventure,2025
Among the Trolls,PC,Adventure,2025
Simon the Sorcerer Origins,"PC, PlayStation, Xbox, Nintendo",Adventure,2025
Barkhan,PC,Strategy,2025
Skate Story,"PC, PlayStation",Action,2025
The Alters,"PC, PlayStation, Xbox",Simulation,2025
Terminator: Survivors,"PC, PlayStation, Xbox",Action,2025
Tom Clancy's The Division: Resurgence,Mobile,Action,2025
Bounty Star,"PC, PlayStation, Xbox",Action,2025
Etheria: Restart,"PC, Mobile",RPG,2025
Selenwald,PC,RPG,2025
Phantom Hellcat,"PC, PlayStation, Xbox",Action,2025
Stick It to the Stickman,PC,Action,2025
Second Stone: The Legend of the Hidden World,PC,RPG,2025
Hibernaculum,PC,RPG,2025
Foolish Mortals,PC,Adventure,2025
Blight: Survival,PC,Action,2025
ArcheAge Chronicles,"PC, PlayStation, Xbox",RPG,2025
OPUS: Prism Peak,PC,Adventure,2025
Project Motor Racing,"PC, PlayStation, Xbox",Racing,2025
Professor Layton and the New World of Steam,Nintendo,Adventure,2025
Echoes of the Living,PC,Action,2025
Hail to the Rainbow,"PC, PlayStation",Adventure,2025
Anvil Empires,PC,Strategy,2025
Outbreak Island,PC,Action,2025
Unrecord,PC,Action,2025
Mouse: P.I. for Hire,"PC, PlayStation, Xbox, Nintendo",Action,2025
Scarlet Deer Inn,"PC, Xbox, Nintendo",Adventure,2025
Breeze in the Clouds,PC,Action,2025
Sword of the Sea,"PC, PlayStation",Adventure,2025
